author,title,rank
Inga Strümke,Maskiner som tenker - algoritmenes hemmeligheter og veien til kunstig intelligens,1
Thomas Korsgaard,Hvis det skulle komme et menneske,2
Gry Hammer,"Gladere mage, gladere deg - maten og livsstilen som fornyer og reparerer tarmen",3
"Lucinda Riley, Harry Whittaker",Atlas - historien om Pa Salt,4
Prins Harry,I skyggen,5
Helene Myhre,Tur-retur Norge på nye eventyr - med @helenemoo,6
Valerie Perrin,De tre,7
Torkil Færø,"Pulskuren - stress riktig, sov bedre, yt mer og lev lenger",8
Victor Sotberg,Edelmot - 1,9
"Ingrid Bergtun, Ingrid Vik Lysne, Mari Nordén, Jenny Skavlan",Sy din egen fæstdrakt,10
Lisbeth Bjørndal,Festdrakter du syr selv - drakter og skjorter til voksen og barn,11
Silje Baarli Salvesen,"Gråt - om tårer som berører, engasjerer og provoserer",12
